iter	Passed	Remaining
385	1321	2101
386	1323	2096
387	1328	2095
388	1330	2089
389	1332	2084
390	1334	2078
391	1336	2072
392	1338	2067
393	1340	2061
394	1343	2057
395	1345	2052
396	1349	2050
397	1352	2045
398	1354	2040
399	1361	2041
400	1363	2036
401	1365	2031
402	1367	2026
403	1370	2021
404	1375	2020
405	1377	2014
406	1380	2010
407	1382	2005
408	1384	2000
409	1389	1999
410	1395	1999
411	1397	1994
412	1405	1996
413	1407	1992
414	1410	1988
415	1412	1983
416	1415	1978
417	1432	1994
418	1460	2025
419	1462	2020
420	1465	2015
421	1471	2015
422	1473	2010
423	1476	2005
424	1478	2000
425	1481	1995
426	1485	1993
427	1488	1988
428	1490	1983
429	1503	1992
430	1506	1988
431	1508	1983
432	1511	1978
433	1513	1973
434	1517	1970
